"Datasets 1544 of 2067","Tissue","Disease","Assay","Organism","Cells",""
"Periphery - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution","pigment epithelium of eye retina","normal","10x 3' v2","Homo sapiens","34,723","Download Explore"
"Fovea - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution","fovea centralis","normal","10x 3' v2","Homo sapiens","19,768","Download Explore"
"Organoid - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution","retina (organoid)","normal","10x 3' v2","Homo sapiens","43,857","Download Explore"
"Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Fibromuscular Stromal Cells Urethral luminal epithelia are castration-insensitive cells of the proximal prostate","peripheral zone of prostate transition zone of prostate","benign prostatic hyperplasia normal","10x 3' v2","Homo sapiens","1,295","Download Explore"
"Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - All Human Cells Urethral luminal epithelia are castration-insensitive cells of the proximal prostate","peripheral zone of prostate transition zone of prostate","benign prostatic hyperplasia normal","10x 3' v2","Homo sapiens","28,847","Download Explore"
"Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Epithelial Cells Urethral luminal epithelia are castration-insensitive cells of the proximal prostate","peripheral zone of prostate transition zone of prostate","benign prostatic hyperplasia normal","10x 3' v2","Homo sapiens","25,186","Download Explore"
"Single-cell atlas of peripheral immune response to SARS-CoV-2 infection Single-cell atlas of peripheral immune response to SARS-CoV-2 infection","blood","COVID-19 normal","Seq-Well","Homo sapiens","44,721","Download Explore"
"Bipolar cells of the human fovea and peripheral retina Cell Atlas of The Human Fovea and Peripheral Retina","fovea centralis peripheral region of retina","normal","10x 3' v2 10x 3' v3","Homo sapiens","25,908","Download Explore"
"Non-neuronal cells of the human fovea and peripheral retina Cell Atlas of The Human Fovea and Peripheral Retina","fovea centralis peripheral region of retina","normal","10x 3' v2 10x 3' v3","Homo sapiens","22,125","Download Explore"
"Photoreceptor cells of the human fovea and peripheral retina Cell Atlas of The Human Fovea and Peripheral Retina","fovea centralis peripheral region of retina","normal","10x 3' v2 10x 3' v3","Homo sapiens","9,070","Download Explore"
"Amacrine cells of the human fovea and peripheral retina Cell Atlas of The Human Fovea and Peripheral Retina","fovea centralis peripheral region of retina","normal","10x 3' v2 10x 3' v3","Homo sapiens","13,607","Download Explore"
"Retinal ganglion cells of the human fovea and peripheral retina Cell Atlas of The Human Fovea and Peripheral Retina","fovea centralis peripheral region of retina","normal","10x 3' v2 10x 3' v3","Homo sapiens","11,404","Download Explore"
"Horizontal cells of the human fovea and peripheral retina Cell Atlas of The Human Fovea and Peripheral Retina","fovea centralis peripheral region of retina","normal","10x 3' v2 10x 3' v3","Homo sapiens","2,868","Download Explore"
"Single-Cell Transcriptome Profiling of Immature Human Thymocytes Integrated scRNA-Seq Identifies Human Postnatal Thymus Seeding Progenitors and Regulatory Dynamics of Differentiating Immature Thymocytes","thymus","normal","10x 3' v2","Homo sapiens","71,732","Download Explore"
"Construction of a human cell landscape at single-cell level Construction of a human cell landscape at single-cell level","49 tissues","normal","microwell-seq","Homo sapiens","599,926","Download Explore"
"Airway SARS-CoV-2 receptor ACE2 and TMPRSS2 are primarily expressed in bronchial transient secretory cells","respiratory airway","normal","10x 3' v2","Homo sapiens","17,451","Download Explore"
"Lung SARS-CoV-2 receptor ACE2 and TMPRSS2 are primarily expressed in bronchial transient secretory cells","lung","normal","10x 3' v2","Homo sapiens","39,778","Download Explore"
"A Single-Cell Transcriptional Roadmap of the Mouse and Human Lymph Node Lymphatic Vasculature - human A single-cell transcriptional roadmap of the mouse and human lymph node lymphatic vasculature","cervical lymph node","normal","10x 3' v2","Homo sapiens","4,355","Download Explore"
"Human Thymic Epithelial Cells - A cell atlas of human thymic development defines T cell repertoire formation A cell atlas of human thymic development defines T cell repertoire formation","thymus","normal","3 assays","Homo sapiens","18,524","Download Explore"
"Human T cells - A cell atlas of human thymic development defines T cell repertoire formation A cell atlas of human thymic development defines T cell repertoire formation","thymus","normal","3 assays","Homo sapiens","76,994","Download Explore"
"Human Stem Cells (LIV and TH) - A cell atlas of human thymic development defines T cell repertoire formation A cell atlas of human thymic development defines T cell repertoire formation","liver thymus","normal","3 assays","Homo sapiens","27,589","Download Explore"
"Figure 1 - A cell atlas of human thymic development defines T cell repertoire formation A cell atlas of human thymic development defines T cell repertoire formation","thymus","normal","3 assays","Homo sapiens","255,901","Download Explore"
"Massively multiplex chemical transcriptomics at single-cell resolution - K562 Massively multiplex chemical transcriptomics at single-cell resolution","K-562 (cell line)","normal","sci-Plex","Homo sapiens","146,752","Download Explore"
"Massively multiplex chemical transcriptomics at single-cell resolution - A549 Massively multiplex chemical transcriptomics at single-cell resolution","A-549 (cell line)","normal","sci-Plex","Homo sapiens","143,015","Download Explore"
"Massively multiplex chemical transcriptomics at single-cell resolution - MCF7 Massively multiplex chemical transcriptomics at single-cell resolution","MCF-7 (cell line)","normal","sci-Plex","Homo sapiens","292,010","Download Explore"
"Myeloid cells of human eye Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration","retina","normal","10x 3' v3","Homo sapiens","395","Download Explore"
"Bipolar cells of human eye Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration","retina","normal","10x 3' v3","Homo sapiens","16,540","Download Explore"
"Non-neuronal cells of human eye Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration","retina","normal","10x 3' v3","Homo sapiens","8,193","Download Explore"
"All cell types of human eye Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration","retina","normal","10x 3' v3","Homo sapiens","100,055","Download Explore"
"Retinal ganglion cells of human eye Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration","retina","normal","10x 3' v3","Homo sapiens","1,777","Download Explore"
"Amacrine cells of human eye Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration","retina","normal","10x 3' v3","Homo sapiens","6,101","Download Explore"
"Rod cells of human eye Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration","retina","normal","10x 3' v3","Homo sapiens","62,509","Download Explore"
"Retinal pigment epithelial cells of human eye Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration","retina","normal","10x 3' v3","Homo sapiens","1,635","Download Explore"
"Cone cells of human eye Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration","retina","normal","10x 3' v3","Homo sapiens","1,378","Download Explore"
"Horizontal cells of human eye Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration","retina","normal","10x 3' v3","Homo sapiens","1,875","Download Explore"
"Characterizing smoking-induced transcriptional heterogeneity in the human bronchial epithelium at single-cell resolution. Characterizing smoking-induced transcriptional heterogeneity in the human bronchial epithelium at single-cell resolution","epithelium of main bronchus","normal","CEL-seq","Homo sapiens","796","Download Explore"
"Single-cell reconstruction of follicular remodeling in the human adult ovary Single-cell reconstruction of follicular remodeling in the human adult ovary","ovary","normal","10x 3' v2","Homo sapiens","20,676","Download Explore"
"Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease","4 tissues","normal","10x 3' v2","Homo sapiens","51,876","Download Explore"
"Retina Single-cell transcriptomic atlas of the human retina identifies cell types associated with age-related macular degeneration","macula lutea peripheral region of retina","normal","10x 3' v3","Homo sapiens","20,091","Download Explore"
"Retina Single-cell transcriptomics of the human retinal pigment epithelium and choroid in health and macular degeneration","fovea centralis peripheral region of retina","3 diseases","10x 3' v3","Homo sapiens","4,335","Download Explore"
"Mature kidney dataset: non PT parenchyma Spatiotemporal immune zonation of the human kidney","5 tissues","normal","10x 3' v2","Homo sapiens","4,620","Download Explore"
"Fetal kidney dataset: nephron Spatiotemporal immune zonation of the human kidney","kidney","normal","10x 3' v2","Homo sapiens","10,790","Download Explore"
"Mature kidney dataset: immune Spatiotemporal immune zonation of the human kidney","5 tissues","normal","10x 3' v2","Homo sapiens","7,803","Download Explore"
"Mature kidney dataset: full Spatiotemporal immune zonation of the human kidney","5 tissues","normal","10x 3' v2","Homo sapiens","40,268","Download Explore"
"Fetal kidney dataset: stroma Spatiotemporal immune zonation of the human kidney","kidney","normal","10x 3' v2","Homo sapiens","8,345","Download Explore"
"Fetal kidney dataset: immune Spatiotemporal immune zonation of the human kidney","kidney","normal","10x 3' v2","Homo sapiens","6,847","Download Explore"
"Fetal kidney dataset: full Spatiotemporal immune zonation of the human kidney","kidney","normal","10x 3' v2","Homo sapiens","27,197","Download Explore"
